event_type, timeStamp, idSession, level, playerButton, levelButton, distanceToNote, numNote, score, maxCombo, comboTime, input, lastNote, dialogLine
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, rRight, rRight, 7.968750, 158
INPUT_EVENT, Sat 2021-06-05 14:52:45, 321489216, 14, lUp, lUp, 9.562500, 159
INPUT_EVENT, Sat 2021-06-05 14:52:45, 321489216, 14, lUp, lUp, 1.912500, 160
INPUT_EVENT, Sat 2021-06-05 14:52:46, 321489216, 14, lDown, lDown, 1.912500, 161
INPUT_EVENT, Sat 2021-06-05 14:52:46, 321489216, 14, rUp, rUp, 7.650000, 162
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, lLeft, lLeft, 5.737500, 163
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, rRight, rRight, 3.825000, 164
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, lRight, lRight, 9.562500, 165
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, rLeft, rLeft, 9.881250, 166
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, lLeft, lLeft, 5.737500, 167
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, rRight, rRight, 32.831249, 168
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, lRight, lRight, 21.356251, 169
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, rLeft, rLeft, 13.706250, 170
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, lUp, lUp, 17.531250, 171
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, rUp, rUp, 9.881250, 172
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, lLeft, lLeft, 1.912500, 173
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, lLeft, lLeft, 9.881250, 174
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, rRight, rRight, 5.737500, 175
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, rRight, rRight, 13.706250, 176
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, lUp, lUp, 5.737500, 177
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, lUp, lUp, 5.737500, 178
INPUT_EVENT, Sat 2021-06-05 14:52:52, 321489216, 14, lDown, lDown, 0.000000, 179
INPUT_EVENT, Sat 2021-06-05 14:52:52, 321489216, 14, rUp, rUp, 5.737500, 180
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, lLeft, 5.737500, 181
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, rDown, 5.737500, 182
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, lLeft, lLeft, 15.618750, 183
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, rDown, 9.881250, 184
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, lLeft, lLeft, 23.268749, 185
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, rDown, rDown, 13.706250, 186
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, lLeft, lLeft, 34.743752, 187
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, rDown, rDown, 29.006250, 188
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 5.737500, 189
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.562500, 190
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 1.912500, 191
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.562500, 192
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 7.968750, 193
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 1.912500, 194
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 17.531250, 195
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.881250, 196
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 9.881250, 197
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 5.737500, 198
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 13.706250, 199
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 7.968750, 200
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 5.737500, 201
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 202
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 3.825000, 203
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 204
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, lUp, 1.912500, 205
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 206
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 5.737500, 207
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 1.912500, 208
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 5.737500, 209
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 1.912500, 210
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 7.968750, 211
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 3.825000, 212
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 11.793750, 213
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 6.056250, 214
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 13.706250, 215
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 7.968750, 216
LEVEL_EVENT, Sat 2021-06-05 14:53:01, 321489216, 14, , , , , 901390, 226, 428148.000000, PS4_INPUT
